Raca,Sexo,Idade,peso_kg,porte_animal,Nivel_Atividade_Pet,Dieta_Atual,Marca_Racao,caminhada_diaria_km,Medicamentos,Convulsoes,Horas_Sono,Tempo_Brincadeira_Horas,Visitas_Anuais_Veterinario,calorias_diarias_RER,Status_Saude,Recomendacao_Racao_IA
Australian Shepherd,Macho,3.0,27.22,Grande,Ativo,Úmida,Wellness,8.05,Sim,Não,12.0,1.0,1.0,834.19,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Dachshund,Fêmea,4.0,25.85,Grande,Muito Ativo,Caseira,Special,3.22,Não,Não,11.0,3.0,0.0,802.5,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Chihuahua,Fêmea,12.0,30.39,Grande,Ativo,Caseira,Special,1.61,Não,Não,10.0,1.0,0.0,906.04,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Siberian Husky,Macho,13.0,15.88,Médio,Muito Ativo,Úmida,Special,6.44,Não,Não,12.0,2.0,1.0,556.85,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Boxer,Macho,13.0,15.88,Médio,Muito Ativo,Úmida,Purina,4.83,Sim,Não,9.0,1.0,0.0,556.85,Não,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken"
Australian Shepherd,Fêmea,2.0,19.05,Médio,Muito Ativo,Úmida,Iams,0.0,Não,Não,11.0,3.0,2.0,638.29,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Labrador Retriever,Macho,8.0,22.68,Médio,Ativo,Especial,Blue Buffalo,3.22,Não,Não,8.0,1.0,0.0,727.5,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Boxer,Fêmea,11.0,29.94,Grande,Ativo,Caseira,Special,3.22,Sim,Sim,9.0,2.0,2.0,895.96,Não,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken"
Australian Shepherd,Macho,12.0,12.7,Médio,Moderado,Especial,Royal Canin,3.22,Sim,Não,11.0,2.0,0.0,470.92,Não,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken"
Bulldog,Fêmea,11.0,22.23,Médio,Ativo,Úmida,Wellness,4.83,Sim,Não,11.0,2.0,0.0,716.64,Não,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken"
Rottweiler,Macho,2.0,29.03,Grande,Muito Ativo,Ração Seca,Blue Buffalo,4.83,Sim,Não,11.0,2.0,1.0,875.45,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Siberian Husky,Fêmea,7.0,9.07,Pequeno,Baixo,Ração Seca,Blue Buffalo,3.22,Sim,Não,13.0,3.0,1.0,365.85,Não,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken"
Boxer,Macho,5.0,14.97,Médio,Baixo,Especial,Wellness,3.22,Sim,Não,10.0,1.0,1.0,532.74,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
German Shepherd,Fêmea,10.0,25.4,Grande,Ativo,Ração Seca,Royal Canin,4.83,Não,Não,10.0,2.0,1.0,792.0,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Golden Retriever,Macho,8.0,30.39,Grande,Baixo,Caseira,Special,3.22,Não,Não,10.0,0.0,0.0,906.04,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Poodle,Macho,13.0,21.77,Médio,Muito Ativo,Ração Seca,Wellness,4.83,Não,Sim,8.0,2.0,4.0,705.49,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Doberman,Macho,4.0,29.94,Grande,Muito Ativo,Ração Seca,Royal Canin,3.22,Não,Não,11.0,1.0,1.0,895.96,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Boxer,Fêmea,2.0,20.87,Médio,Ativo,Especial,Nutro,3.22,Sim,Não,8.0,2.0,1.0,683.5,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Bulldog,Fêmea,11.0,39.46,Grande,Baixo,Especial,Purina,4.83,Não,Não,13.0,2.0,0.0,1102.09,Não,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken"
Great Dane,Fêmea,11.0,19.96,Médio,Ativo,Ração Seca,Purina,6.44,Não,Não,10.0,1.0,0.0,661.03,Não,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken"
Poodle,Fêmea,7.0,20.87,Médio,Muito Ativo,Úmida,Wellness,4.83,Não,Não,11.0,0.0,2.0,683.5,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
