Raca,Idade,peso_kg,porte_animal,Status_Saude,calorias_diarias_RER,Status_Corporal,Sugestao_IA,Acerto
Australian Shepherd,3.0,27.22,Grande,Sim,834.19,Sobrepeso,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken",1
Dachshund,4.0,25.85,Grande,Sim,802.5,Sobrepeso,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken",1
Chihuahua,12.0,30.39,Grande,Sim,906.04,Sobrepeso,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken",1
Siberian Husky,13.0,15.88,Médio,Sim,556.85,Abaixo do Peso,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Boxer,13.0,15.88,Médio,Não,556.85,Abaixo do Peso,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Australian Shepherd,2.0,19.05,Médio,Sim,638.29,Abaixo do Peso,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Labrador Retriever,8.0,22.68,Médio,Sim,727.5,Abaixo do Peso,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Boxer,11.0,29.94,Grande,Não,895.96,Peso Ideal,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Australian Shepherd,12.0,12.7,Médio,Não,470.92,Abaixo do Peso,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Bulldog,11.0,22.23,Médio,Não,716.64,Peso Ideal,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Rottweiler,2.0,29.03,Grande,Sim,875.45,Abaixo do Peso,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Siberian Husky,7.0,9.07,Pequeno,Não,365.85,Abaixo do Peso,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Blue Buffalo® Basics™ Small Breed Adult Dry Dog Food - Natural, Turkey",1
Boxer,5.0,14.97,Médio,Sim,532.74,Abaixo do Peso,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
German Shepherd,10.0,25.4,Grande,Sim,792.0,Abaixo do Peso,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Golden Retriever,8.0,30.39,Grande,Sim,906.04,Peso Ideal,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Poodle,13.0,21.77,Médio,Sim,705.49,Peso Ideal,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Doberman,4.0,29.94,Grande,Sim,895.96,Sobrepeso,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken",1
Boxer,2.0,20.87,Médio,Sim,683.5,Abaixo do Peso,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Bulldog,11.0,39.46,Grande,Não,1102.09,Sobrepeso,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken",1
Great Dane,11.0,19.96,Médio,Não,661.03,Peso Ideal,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Poodle,7.0,20.87,Médio,Sim,683.5,Peso Ideal,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Chihuahua,3.0,11.79,Médio,Sim,445.38,Sobrepeso,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken",1
German Shepherd,11.0,17.24,Médio,Sim,592.24,Abaixo do Peso,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Bulldog,9.0,29.48,Grande,Sim,885.61,Sobrepeso,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken",1
Great Dane,6.0,29.48,Grande,Sim,885.61,Sobrepeso,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken",1
Chihuahua,10.0,6.8,Pequeno,Não,294.77,Sobrepeso,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken",1
Beagle,11.0,23.59,Médio,Sim,749.28,Sobrepeso,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken",1
Poodle,13.0,14.51,Médio,Sim,520.41,Abaixo do Peso,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Siberian Husky,13.0,11.79,Médio,Sim,445.38,Abaixo do Peso,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Rottweiler,2.0,29.94,Grande,Sim,895.96,Abaixo do Peso,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Poodle,13.0,22.68,Médio,Sim,727.5,Peso Ideal,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
German Shepherd,5.0,28.58,Grande,Sim,865.26,Abaixo do Peso,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Rottweiler,13.0,19.5,Médio,Não,649.57,Abaixo do Peso,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Australian Shepherd,10.0,31.3,Grande,Sim,926.31,Sobrepeso,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken",1
Australian Shepherd,8.0,25.4,Grande,Sim,792.0,Peso Ideal,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Bulldog,2.0,26.31,Grande,Sim,813.18,Sobrepeso,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken",1
Siberian Husky,4.0,31.3,Grande,Não,926.31,Sobrepeso,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken",1
Rottweiler,13.0,12.25,Médio,Sim,458.35,Abaixo do Peso,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Golden Retriever,9.0,29.48,Grande,Não,885.61,Peso Ideal,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Dachshund,10.0,23.13,Médio,Sim,738.29,Sobrepeso,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken",1
Australian Shepherd,12.0,26.76,Grande,Sim,823.59,Sobrepeso,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken",1
Poodle,9.0,14.06,Médio,Sim,508.26,Abaixo do Peso,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Bulldog,12.0,14.97,Médio,Não,532.74,Abaixo do Peso,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Great Dane,2.0,31.3,Grande,Sim,926.31,Sobrepeso,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken",1
Yorkshire Terrier,2.0,20.41,Médio,Sim,672.17,Sobrepeso,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken",1
Golden Retriever,4.0,29.03,Grande,Sim,875.45,Peso Ideal,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Chihuahua,13.0,4.54,Pequeno,Não,217.72,Sobrepeso,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken",1
Great Dane,12.0,18.6,Médio,Não,626.95,Peso Ideal,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Rottweiler,7.0,21.77,Médio,Não,705.49,Abaixo do Peso,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Poodle,9.0,27.67,Grande,Sim,844.51,Sobrepeso,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken",1
Siberian Husky,8.0,22.23,Médio,Sim,716.64,Peso Ideal,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Rottweiler,11.0,26.76,Grande,Não,823.59,Abaixo do Peso,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
German Shepherd,5.0,20.87,Médio,Não,683.5,Abaixo do Peso,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Poodle,7.0,15.42,Médio,Sim,544.7,Abaixo do Peso,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Boxer,12.0,20.41,Médio,Não,672.17,Abaixo do Peso,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
German Shepherd,4.0,11.79,Médio,Sim,445.38,Abaixo do Peso,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Labrador Retriever,8.0,27.22,Grande,Sim,834.19,Peso Ideal,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
German Shepherd,2.0,34.93,Grande,Sim,1005.77,Peso Ideal,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Labrador Retriever,6.0,28.12,Grande,Sim,854.79,Peso Ideal,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Poodle,7.0,29.94,Grande,Sim,895.96,Sobrepeso,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken",1
Doberman,8.0,19.05,Médio,Sim,638.29,Peso Ideal,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Bulldog,12.0,28.12,Grande,Não,854.79,Sobrepeso,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken",1
Golden Retriever,1.0,34.02,Grande,Não,986.05,Peso Ideal,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Labrador Retriever,4.0,18.14,Médio,Sim,615.28,Abaixo do Peso,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Australian Shepherd,8.0,28.58,Grande,Não,865.26,Sobrepeso,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken",1
Beagle,13.0,18.6,Médio,Não,626.95,Sobrepeso,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken",1
