Breed,animalWeight_kg,Healthy,Recomendacao_IA
Australian Shepherd,27.22,Yes,"['Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food', 'Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food']"
Dachshund,25.85,Yes,"['Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food', 'Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food']"
Chihuahua,30.39,Yes,"['Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food', 'Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food']"
Siberian Husky,15.88,Yes,"['Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food', 'Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food']"
Boxer,15.88,No,"['Royal Canin® Weight Care Medium Breed Dry Dog Food', 'Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken']"
Australian Shepherd,19.05,Yes,"['Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food', 'Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food']"
Labrador Retriever,22.68,Yes,"['Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food', 'Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food']"
Boxer,29.94,No,"['Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken', 'Authority® Everyday Weight Management Adult Dry Dog Food - Chicken']"
Australian Shepherd,12.7,No,"['Royal Canin® Weight Care Medium Breed Dry Dog Food', 'Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken']"
Bulldog,22.23,No,"['Royal Canin® Weight Care Medium Breed Dry Dog Food', 'Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken']"
